Date of Flight,Time of Departure,Flight Number,DepartureAirport,ArrivalAirport,TaxiFuel,TripFuel,ContingencyFuel,BlockFuel,FinalReserve,Additional Fuel (tonnes),Fuel for other safety rules (tonnes),Discretionary Fuel,Extra Fuel,Reason,Economic tankering category in the flight plan,AlternateFuel,Alternate Arrival Airport,FOB,Air Distance (NM),Carbon Emission (kg),Route,Date of operation (UTC),AC registration,Flight ID,ICAO Call sign,AC Type,Flight type,Departing Airport ICAO Code,Departure Time/ Block-off time (UTC),Destination Airport ICAO Code,Arrival Time/ Block-on Time(UTC),Uplift Volume (Litres),Uplift density,Block On (tonnes),Block Off (tonnes)
2024-12-03,14:15:00,184,DTTA,LSGG,0.095,3.628,0.2,6.132,1.0,0.0,0,0.295,0,MaxLandingWeightReached,,1.209,LYS,5.837,701,0.914,DTTA -> LSGG,,,,,,,,,,,,,,
2024-12-21,06:45:00,206,DTTA,EDDL,0.095,4.817,0.241,7.085,1.0,0.0,0,0.336,0,MaxLandingWeightReached,,0.932,CGN,6.749,1010,1.042,DTTA -> EDDL,,,,,,,,,,,,,,
2024-12-20,06:55:00,234,DTTA,EDDF,0.095,4.301,0.215,6.67,1.0,0.0,0,0.31,0,MaxLandingWeightReached,,1.059,CGN,6.36,928,0.961,DTTA -> EDDF,,,,,,,,,,,,,,
2024-11-29,10:20:00,235,EDDF,DTTA,0.105,3.921,0.2,12.267,1.0,6.383,0,0.305,0,price,price,0.658,NBE,11.962,742,0.945,EDDF -> DTTA,,,,,,,,,,,,,,
2024-11-29,14:30:00,396,DTTA,EBBR,0.158,5.39,0.27,7.688,1.0,0.0,0,0.428,0,MaxLandingWeightReached,,0.87,LIL,7.26,1053,1.327,DTTA -> EBBR,,,,,,,,,,,,,,
2024-12-18,14:00:00,396,DTTA,EBBR,0.095,4.937,0.247,7.032,1.0,0.0,0,0.342,0,MaxLandingWeightReached,,0.753,LGG,6.69,1010,1.06,DTTA -> EBBR,,,,,,,,,,,,,,
2024-12-08,18:15:00,397,EBBR,DTTA,0.137,4.938,0.247,8.196,1.0,1.184,0,0.384,0,price,price,0.69,NBE,7.812,944,1.19,EBBR -> DTTA,,,,,,,,,,,,,,
2024-11-30,06:30:00,510,DTTA,LFPG,0.158,4.768,0.238,7.208,1.0,0.0,0,0.396,0,MaxLandingWeightReached,,1.044,ORY,6.812,940,1.228,DTTA -> LFPG,,,,,,,,,,,,,,
2024-12-09,06:30:00,510,DTTA,LFPG,0.095,4.339,0.217,6.59,1.0,0.0,0,0.312,0,MaxLandingWeightReached,,0.939,ORY,6.278,885,0.967,DTTA -> LFPG,,,,,,,,,,,,,,
2024-11-30,10:05:00,511,LFPG,DTTA,0.158,4.343,0.217,6.405,1.0,0.0,0,0.375,0,MaxLandingWeightReached,,0.687,NBE,6.03,830,1.163,LFPG -> DTTA,,,,,,,,,,,,,,
